username,commits,additions,deletions,changes,number of repos
sidnei,708,82416,88320,170736,17
pellekrogholt,27,756,118,874,8
cah190,35,1555,312,1867,7
santonelli,53,1236249,434076,1670325,11
arterrey,9,282,98,380,3
staeff,68,614,163,777,12
erikrose,44,5584,4467,10051,9
huubbouma,7,129,10,139,5
tlotze,23,747,883,1630,7
Thokas,50,742,619,1361,3
malikrohit16,3,12,13,25,1
diefenbach,14,2296,1200,3496,4
vloothuis,66,4231,2671,6902,9
anirudhhkashyap,8,48,36,84,3
PenguinYang,1,5,1,6,1
duffyd,19,81,72,153,3
fhnwba,1,2,2,4,1
davidemoro,34,209,46,255,7
domenkozar,157,21098,27964,49062,5
david-batranu,15,277,55,332,5
fafhrd91,8,25,10,35,2
glenfant,22,809,349,1158,8
cornae,1,1,18,19,1
aaronvanderlip,5,14,8,22,2
kojiromike,11,400,63,463,3
aburkhalter,19,1132,728,1860,6
mrsavage,7,141,48,189,4
CaffeinatedStud,2,2,11,13,1
siebo,7,477,25,502,4
DieKatze,1,24,1,25,1
bobdobbs666,23,154,79,233,7
seletz,4,29,40,69,3
joelburton,16,1541,546,2087,4
jcameroncooper,255,10873,3752,14625,2
hacklschorsch,3,13,2,15,1
tobiasherp,19,1470,1240,2710,5
hathawsh,1,12,28,40,1
alecghica,9,2278,278,2556,4
dataflake,120,2582,1573,4155,8
fazalsulaiman,2,10,8,18,1
skurfer,8,25,36,61,2
rristow,3,37,19,56,3
tiberiuichim,425,112616,52978,165594,13
2silver,4,82,16,98,1
SyZn,11,26,8,34,5
pigeonflight,159,7079,4021,11100,13
TH-code,41,16162,4681,20843,8
ramonski,1,18,7,25,1
nazrulworld,13,386,395,781,3
jtmolon,1,21,24,45,1
aman2arora,1,9,1,10,1
jessnorwood,9,163,87,250,2
vmaksymiv,6,134,33,167,3
aputtu,1,14,14,28,1
felipeduardo,1,1,1,2,1
rnd0101,2,3,1,4,2
chervol,1,517,0,517,1
ovidiumiron,3,8,6,14,1
razvanMiu,15,16324,1531,17855,4
bdbaddog,4,100,22,122,1
evilbungle,34,1864,395,2259,3
pjstevns,29,563,312,875,5
instification,33,463,245,708,4
sauzher,3,160,71,231,3
prospchr,1,4,0,4,1
myroslav,33,686,144,830,3
vladimir-iliev,2,58,0,58,1
misaelnieto,4,86,5,91,2
michaellaunay,1,1,0,1,1
127001,1,6,4,10,1
macadames,3,69,58,127,2
me-kell,3,26,2,28,1
meizon,9,341,322,663,5
silviot,35,2162,413,2575,6
vincic,3,8,1,9,3
cdw9,65,3258,734,3992,14
RMattB,39,1393,619,2012,2
emanlove,93,3151,2060,5211,9
nzambello,86,42383,4024,46407,4
afrepues,1,1,1,2,1
jbeyers,8,358,16,374,3
rohnsha0,55,1525,561,2086,8
obct537,188,49914,6755,56669,9
paulrentschler,1,3,3,6,1
nehsus,4,24,55,79,1
sunbit,6,3730,15335,19065,2
talarias,11,200,26,226,4
khanstark,12,51,50,101,4
timitos,9,560,652,1212,4
vanclevstik,7,3898,5,3903,2
jjmurre,8,211,139,350,1
spanktar,1,16,2,18,1
pilz,38,42993,1077,44070,6
wolbernd,19,254,272,526,4
tcurvelo,2,21,22,43,2
tseaver,176,68938,24560,93498,7
miziodel,4,27,5,32,4
agentcoops,1,17,19,36,1
chris2fr,1,15,2,17,1
msabramo,1,16,0,16,1
seocam,10,67,23,90,1
travacic,1,1,0,1,1
vbarone,1,5,1,6,1
jessesnyder,2,12,12,24,1
barseghyanartur,2,2,2,4,2
pgrunewald,10,244,49,293,4
andbag,7,49,301,350,1
muellert,1,4,1,5,1
yangh,1,14,0,14,1
stevepiercy,1131,236721,239732,476453,15
untitaker,13,661,3742,4403,1
geier,11,1797,907,2704,1
andreasma,28,986,1038,2024,2
vedaw,1,307,15,322,1
asigottech,5,23,2,25,2
